id,created_at,text
562880935415533568,2015-02-04 07:50:47,"@sachinvsharma Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/QavolAZUbG"
562880934299860992,2015-02-04 07:50:47,"@KokaneSanjay Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/EmYn97L9gg"
562880933226094592,2015-02-04 07:50:46,"@AnilMagaji Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/wYrvqY1YqT"
562880933200945152,2015-02-04 07:50:46,"@syedkamran4 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/5JdvlXvZTv"
562880933133828098,2015-02-04 07:50:46,"@Vidyagauri Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/00M3zvRrsU"
562880925114302465,2015-02-04 07:50:45,"@bharti_kamlesh Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/w6kfpuA3PV"
562880924724244480,2015-02-04 07:50:44,"@_Rashii_ Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/nW2fgGMBpd"
562880923956699136,2015-02-04 07:50:44,"@jaggimann99 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/BnjVVtqidj"
562880922509647872,2015-02-04 07:50:44,"@blackeesh Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/xLC8YVdG55"
562880922304151552,2015-02-04 07:50:44,"@austranause Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/sz8IEBmVnl"
562880795929763840,2015-02-04 07:50:14,"@aapmit Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/BceXN49Z4q"
562880794965049346,2015-02-04 07:50:13,"@kumkumbaskey Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/9JIN8Wt9pf"
562880794847625217,2015-02-04 07:50:13,"@vimalvimlendra Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/tjCkYR0Vra"
562880793660633088,2015-02-04 07:50:13,"@profmadhukrishn Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/S4rzFwjcR9"
562880785485922305,2015-02-04 07:50:11,"@bhuvansingh7 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/gw3YTHRQwd"
562880785448173569,2015-02-04 07:50:11,"@shadab16 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/zKS47uRIFU"
562880784466714625,2015-02-04 07:50:11,"@BindraJasmeet Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/tP9YL8ghqy"
562880784038903808,2015-02-04 07:50:11,"@Baisaaa Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/YluJ913NaJ"
562880656796291072,2015-02-04 07:49:41,"@guptarajiv7 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/hdLdhl4IQm"
562880655747743744,2015-02-04 07:49:40,"@pavan_sethi Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/X7W4eh8ntF"
562880648269279232,2015-02-04 07:49:39,"@nitinsinghai Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/Elp9yXseSb"
562880647371689984,2015-02-04 07:49:38,"@paulggn Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/Kge4JImfnf"
562880647333949440,2015-02-04 07:49:38,"@negi_kanchi Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/Qos68bmqda"
562880646952255488,2015-02-04 07:49:38,"@Gauravwankhede Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/6LU7G5KuqV"
562880646381838336,2015-02-04 07:49:38,"@BalrajRanaa Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/Q4iK5Oi655"
562880646277001218,2015-02-04 07:49:38,"@apchanchal Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/gMoog0doUk"
562880646201503745,2015-02-04 07:49:38,"@NasiirHussain Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/CEsGjjeYda"
562880645983375360,2015-02-04 07:49:38,"@harrypagal Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/E8AVY2vDL2"
562880645488467968,2015-02-04 07:49:38,"@sagarsharma999 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/igJyA89Rl7"
562880644708327424,2015-02-04 07:49:38,"@kaur1_kaur1 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/kVDCaNsq9a"
562880644699934720,2015-02-04 07:49:38,"@coobair Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/Db7iLN7xcD"
562880643903021057,2015-02-04 07:49:37,"@chauhan_01 Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/0JiSmmxxIa"
562880643458400256,2015-02-04 07:49:37,"@nihar_sona Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/A2iA2i3gDa"
562880636684611584,2015-02-04 07:49:36,"@smarty_kaalu Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/GRHkz9Lw9t"
562880635766059010,2015-02-04 07:49:36,"@KalraJatiin Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/xYVTP8RSTx"
562880635099176960,2015-02-04 07:49:35,"@shirodkar__ Your faith, your trust is sacred to us. Together we will create a world class Delhi. http://t.co/eIZiC5IiJg"
